disclosure_date,fiscal_year,code,sales,operating_profit,operating_cf,total_assets,equity,interest_bearing_debt,cash,eps,book_value_per_share,forecast_operating_profit
2024-05-15,2023,90001,210000000000.0,16000000000.0,14000000000.0,260000000000.0,145000000000.0,35000000000.0,42000000000.0,95,1180,16500000000.0
2025-05-15,2024,90001,218000000000.0,16800000000.0,15000000000.0,268000000000.0,153000000000.0,33000000000.0,45000000000.0,101,1240,17500000000.0
2026-05-15,2025,90001,225000000000.0,17200000000.0,15500000000.0,275000000000.0,162000000000.0,31000000000.0,48000000000.0,106,1310,18000000000.0
2024-05-15,2023,90002,180000000000.0,14000000000.0,13000000000.0,240000000000.0,120000000000.0,52000000000.0,28000000000.0,118,1320,13000000000.0
2025-05-15,2024,90002,186000000000.0,14500000000.0,12000000000.0,246000000000.0,126000000000.0,50000000000.0,31000000000.0,121,1380,13800000000.0
2026-05-15,2025,90002,192000000000.0,14200000000.0,14000000000.0,252000000000.0,132000000000.0,48000000000.0,34000000000.0,119,1450,14600000000.0
2024-05-15,2023,90003,120000000000.0,9000000000.0,8000000000.0,150000000000.0,82000000000.0,25000000000.0,20000000000.0,130,1500,10000000000.0
2025-05-15,2024,90003,127000000000.0,10000000000.0,9000000000.0,158000000000.0,88000000000.0,24000000000.0,22000000000.0,145,1600,11300000000.0
2026-05-15,2025,90003,136000000000.0,11500000000.0,10000000000.0,166000000000.0,95000000000.0,22000000000.0,25000000000.0,160,1720,12500000000.0
2024-05-15,2023,90004,320000000000.0,12000000000.0,10000000000.0,280000000000.0,105000000000.0,90000000000.0,18000000000.0,55,720,9000000000.0
2025-05-15,2024,90004,315000000000.0,8000000000.0,5000000000.0,290000000000.0,100000000000.0,102000000000.0,14000000000.0,31,680,5000000000.0
2026-05-15,2025,90004,300000000000.0,2000000000.0,-1000000000.0,305000000000.0,88000000000.0,120000000000.0,10000000000.0,6,590,1000000000.0
2024-05-15,2023,90005,155000000000.0,10000000000.0,11000000000.0,210000000000.0,112000000000.0,44000000000.0,25000000000.0,105,1250,10500000000.0
2025-05-15,2024,90005,160000000000.0,10500000000.0,10000000000.0,216000000000.0,118000000000.0,42000000000.0,28000000000.0,109,1320,11200000000.0
2026-05-15,2025,90005,168000000000.0,11000000000.0,12000000000.0,223000000000.0,126000000000.0,40000000000.0,31000000000.0,116,1410,12000000000.0
2024-05-15,2023,90006,42000000000.0,1000000000.0,500000000.0,65000000000.0,35000000000.0,8000000000.0,15000000000.0,22,800,1800000000.0
2025-05-15,2024,90006,52000000000.0,2000000000.0,1500000000.0,76000000000.0,43000000000.0,9000000000.0,19000000000.0,43,950,3800000000.0
2026-05-15,2025,90006,66000000000.0,4000000000.0,3200000000.0,90000000000.0,54000000000.0,10000000000.0,24000000000.0,79,1170,5500000000.0
