date,code,close,high,low,volume,topix_close
2025-01-06,90001,1776.5,1787.3,1771.1,143548,2505.2
2025-01-07,90001,1739.9,1751.3,1720.3,164491,2490.24
2025-01-08,90001,1729.6,1767.2,1713.2,231529,2502.1
2025-01-09,90001,1741.6,1781.6,1700.1,218691,2516.89
2025-01-10,90001,1737.5,1749.4,1710.9,242912,2488.22
2025-01-13,90001,1740.9,1763.2,1705.1,321567,2469.48
2025-01-14,90001,1758.3,1791.5,1747.9,118605,2471.99
2025-01-15,90001,1779.8,1819.3,1736.2,309347,2467.92
2025-01-16,90001,1779.0,1798.1,1755.0,220638,2468.29
2025-01-17,90001,1801.1,1826.1,1777.1,204855,2456.3
2025-01-20,90001,1802.9,1837.3,1759.1,131464,2469.91
2025-01-21,90001,1789.7,1823.4,1770.5,262353,2482.09
2025-01-22,90001,1780.5,1816.1,1760.7,94508,2483.69
2025-01-23,90001,1757.3,1783.8,1730.1,276045,2501.17
2025-01-24,90001,1743.6,1751.3,1735.0,130502,2508.82
2025-01-27,90001,1738.3,1777.9,1722.0,224155,2496.55
2025-01-28,90001,1751.2,1789.6,1739.9,211012,2502.7
2025-01-29,90001,1778.9,1815.1,1771.1,331280,2488.97
2025-01-30,90001,1757.2,1764.7,1718.7,206664,2502.75
2025-01-31,90001,1763.7,1775.5,1736.3,172548,2502.62
2025-02-03,90001,1747.6,1781.0,1729.7,184254,2500.47
2025-02-04,90001,1755.4,1759.8,1735.4,343482,2490.9
2025-02-05,90001,1753.6,1796.7,1732.7,265424,2509.87
2025-02-06,90001,1725.3,1743.7,1696.7,192223,2508.17
2025-02-07,90001,1740.1,1772.4,1699.5,202526,2502.35
2025-02-10,90001,1730.9,1769.7,1690.4,127117,2497.7
2025-02-11,90001,1723.0,1742.0,1704.0,252041,2506.31
2025-02-12,90001,1706.8,1722.7,1690.4,118829,2512.44
2025-02-13,90001,1697.0,1724.2,1676.0,286218,2519.3
2025-02-14,90001,1703.9,1730.1,1678.2,230130,2526.46
2025-02-17,90001,1701.3,1720.7,1679.8,507278,2559.77
2025-02-18,90001,1706.7,1733.7,1677.4,149692,2554.17
2025-02-19,90001,1712.5,1752.8,1687.3,212235,2546.97
2025-02-20,90001,1733.3,1755.4,1717.1,412826,2535.2
2025-02-21,90001,1728.3,1739.6,1711.1,333824,2545.22
2025-02-24,90001,1705.8,1724.0,1687.5,172423,2563.16
2025-02-25,90001,1722.6,1741.6,1715.4,237939,2562.05
2025-02-26,90001,1717.7,1726.3,1707.7,220154,2549.81
2025-02-27,90001,1735.4,1745.3,1703.0,242817,2537.86
2025-02-28,90001,1741.7,1772.6,1722.6,172274,2548.42
2025-03-03,90001,1739.9,1757.0,1727.9,213228,2560.45
2025-03-04,90001,1745.7,1787.5,1719.6,125751,2569.45
2025-03-05,90001,1777.0,1790.5,1742.5,230654,2559.85
2025-03-06,90001,1810.8,1818.6,1796.5,257529,2564.06
2025-03-07,90001,1812.3,1847.3,1774.2,203167,2566.5
2025-03-10,90001,1815.2,1855.6,1772.9,125005,2570.51
2025-03-11,90001,1833.2,1848.6,1804.4,310944,2584.63
2025-03-12,90001,1819.6,1831.7,1788.0,249937,2588.75
