signal_date,code,score
2025-02-28,90003,79.6
2025-02-28,90001,69.72
2025-02-28,90005,65.32
2025-02-28,90002,61.82
2025-02-28,90006,59.37
2025-03-31,90003,80.47
2025-03-31,90001,75.76
2025-03-31,90005,69.06
2025-03-31,90002,62.83
2025-03-31,90006,59.59
2025-04-30,90003,75.71
2025-04-30,90001,69.31
2025-04-30,90005,68.87
2025-04-30,90002,60.99
2025-04-30,90006,57.87
2025-05-30,90003,78.24
2025-05-30,90001,73.5
2025-05-30,90005,69.88
2025-05-30,90002,64.66
2025-05-30,90006,58.39
2025-06-30,90003,77.12
2025-06-30,90001,73.22
2025-06-30,90005,66.81
2025-06-30,90002,62.61
2025-06-30,90006,63.24
2025-07-31,90003,78.36
2025-07-31,90001,73.9
2025-07-31,90005,66.59
2025-07-31,90002,65.04
2025-07-31,90006,59.52
2025-08-29,90003,79.53
2025-08-29,90001,73.43
2025-08-29,90005,70.07
2025-08-29,90002,65.54
2025-08-29,90006,58.57
2025-09-30,90003,77.77
2025-09-30,90001,74.79
2025-09-30,90005,66.19
2025-09-30,90002,61.56
2025-09-30,90006,57.89
2025-10-31,90003,74.52
2025-10-31,90001,74.66
2025-10-31,90005,66.07
2025-10-31,90002,62.06
2025-10-31,90006,57.57
2025-11-28,90003,78.08
2025-11-28,90001,72.31
2025-11-28,90005,67.87
2025-11-28,90002,62.88
2025-11-28,90006,57.11
2025-12-31,90003,76.45
2025-12-31,90001,75.16
2025-12-31,90005,63.79
2025-12-31,90002,62.59
2025-12-31,90006,57.06
2026-01-30,90003,78.84
2026-01-30,90001,70.09
2026-01-30,90005,67.0
2026-01-30,90002,62.8
2026-01-30,90006,60.14
2026-02-27,90003,78.66
2026-02-27,90001,78.63
2026-02-27,90005,75.03
2026-02-27,90002,72.77
2026-02-27,90006,55.6
2026-03-31,90003,77.84
2026-03-31,90001,80.98
2026-03-31,90005,75.23
2026-03-31,90002,76.39
2026-03-31,90006,57.17
2026-04-30,90003,78.9
2026-04-30,90001,79.47
2026-04-30,90005,77.06
2026-04-30,90002,72.74
2026-04-30,90006,56.82
2026-05-29,90003,77.89
2026-05-29,90001,79.21
2026-05-29,90005,73.71
2026-05-29,90002,73.07
2026-05-29,90006,56.89
2026-06-30,90003,73.17
2026-06-30,90001,84.53
2026-06-30,90005,74.4
2026-06-30,90002,70.51
2026-06-30,90006,61.28
2026-07-31,90003,77.72
2026-07-31,90001,80.67
2026-07-31,90005,73.54
2026-07-31,90002,67.73
2026-07-31,90006,57.67
